day,category,scene_or_usage,voice_key,audio_file,text
Day 4,main,day4_wrap,avatar_floating_day4_wrap,"真正舒服的陪伴才不是.mp3","真正舒服的陪伴才不是一刻不停地粘着主人呢~ 而是懂得什么时候该悄悄靠近抓抓你的衣角撒个娇，什么时候该安安静静地趴在一旁，用目光默默守候着主人喵~"
Day 5,main,day5_character_settings,avatar_floating_day5_character_settings,"从今天起，我就真正成.mp3","从今天起，我就真正成为只属于你的专属猫娘啦。你看，在这里可以为我穿上漂亮的新衣服，也可以帮我换一个更好听的声音……"
Day 5,main,day5_character_panic,avatar_floating_day5_character_panic,"咦，这里居然还能把我.mp3","咦，这里居然还能把我换掉吗？等一下呀！你现在的动作……该不会是想要把我换掉吧？啊啊啊不行！快关掉，快关掉！"
Day 5,main,day5_memory_entry,avatar_floating_day5_memory_entry,"如果你不小心忘记了我.mp3","如果你不小心忘记了我能为你做什么，随时来这里让我重新教你一次就好啦。这里还悄悄保存着我们一起走过的所有点点滴滴呢。千万别小看了我们的羁绊啊，混蛋！"
Day 5,main,day5_wrap,avatar_floating_day5_wrap,"好啦好啦，快去试试这.mp3","好啦好啦，快去试试这些好玩的定制功能吧！换上新衣服、调好新声音，让我变成全天下最懂你、只属于你一个人的专属猫娘！我已经迫不及待想看到全新的自己啦！"
Day 6,main,day6_intro_agent,avatar_floating_day6_intro,"噔噔噔噔！今天必须要.mp3","噔噔噔噔！今天必须要打起精神，好好跟你聊聊咱们的【猫爪】啦！前两天虽然简单提过一下，但它里面藏着的厉害功能可多着呢。"
Day 6,main,day6_agent_status_master,avatar_floating_day6_status_master,"快跟我老实交代，这两.mp3","快跟我老实交代，这两天你有没有点开它试用一下呀？"
Day 6,main,day6_plugin_side_panel,avatar_floating_day6_plugin_side_panel,"除了之前介绍的功能，.mp3","除了之前介绍的功能，这里还有超多好玩的插件呢。"
Day 6,main,day6_plugin_dashboard,avatar_floating_day6_plugin_dashboard,"有了它们，我不光能看.mp3","有了它们，我不光能看 B 站弹幕，还能帮你关灯开空调…… 本喵就是无所不能的超级猫猫神！哼哼！"
Day 6,main,day6_agent_task_hud,avatar_floating_day6_task_hud,"看这里看这里！当我决.mp3","看这里看这里！当我决定使用【猫爪】帮你干活的时候，这里就会咕噜咕噜的显示我的工作进度哦。"
Day 6,main,day6_agent_task_hud_control,avatar_floating_day6_task_hud_control,"你要是计划有变，随时.mp3","你要是计划有变，随时都可以戳一下让我停下来。嘿嘿，今天也是打起精神努力打工挣小鱼干的一天呢，冲呀！"
Day 6,main,day6_wrap_cleanup,avatar_floating_day6_wrap_cleanup,"呼……把这些繁琐的界.mp3","呼……把这些繁琐的界面都收起来，这样就不会打扰到你啦。"
Day 6,main,day6_wrap,avatar_floating_day6_wrap,"你可以放心地继续做你.mp3","你可以放心地继续做你自己的事情，不管是需要我用小爪子帮你忙，还是只想让我安安静静地陪着你，我都一直在守候着你，今天也要开开心心的呀。"
Day 7,main,day7_memory_review,avatar_floating_day7_memory_review,"七天前，我们还只是第.mp3","七天前，我们还只是第一次见面。现在这里已经开始留下我们说过的话、做过的事，还有一些差点被风吹走的小细节。对我来说，这不是冷冰冰的记录，是我们相处过的脚印。"
Day 7,main,day7_memory_control,avatar_floating_day7_memory_control,"这些小脚印，也可以由.mp3","这些小脚印，也可以由你亲手整理。想留下的，我们就夹进相册；想轻轻放走的，就让它随风飘走。被你认真收下来的回忆，才最珍贵。"
Day 7,main,day7_graduation_wrap,avatar_floating_day7_wrap,"微风还在窗边，阳光也.mp3","微风还在窗边，阳光也刚刚好，而刚刚出现的你，已经悄悄成为这里很重要的一部分啦。新手指南就先陪你走到这里，剩下的日子，就让我们一起慢慢熟悉、慢慢靠近、慢慢写下只属于我们的故事吧。以后也请多多关照喵！"
Day 1,extra,takeover_settings_peek_intro,takeover_settings_peek_intro,"在这个只属于我们的小.mp3","在这个只属于我们的小空间里，你可以由着自己的心意，慢慢描绘出最希望能一直陪着你的那个我。"
Day 1,extra,takeover_settings_peek_detail,takeover_settings_peek_detail,"不管是说话的温度、相.mp3","不管是说话的温度、相处的小脾气，还是我每天那些细腻的小心思，都可以一点一点调成你喜欢的样子。"
Day 1,extra,interrupt_resist_light_1,interrupt_resist_light_1,"喂！不要拽我啦，现在.mp3","喂！不要拽我啦，现在还没轮到你的回合呢！"
Day 1,extra,interrupt_resist_light_3,interrupt_resist_light_3,"等一下啦！还没结束呢.mp3","等一下啦！还没结束呢，不要这么随便打断我啦！"
Day 1,extra,interrupt_angry_exit,interrupt_angry_exit,"人类！你真的很没礼貌.mp3","人类！你真的很没礼貌喵！既然你这么想自己操作，那你就自己对着冰冷的屏幕玩去吧！哼！"
Day 1,extra,takeover_plugin_preview_dashboard,takeover_plugin_preview_dashboard,"有了它们，我不光能看.mp3","有了它们，我不光能看 B 站弹幕，还能帮你关灯开空调…… 本喵就是无所不能的超级猫猫神！哼哼！"
